City,Price,Number_Beds,Number_Baths,Median_Family_Income
Toronto,779900,3,2,97000
Toronto,799999,3,1,97000
Toronto,799900,2,2,97000
Toronto,1200000,4,2,97000
Toronto,668800,1,1,97000
Toronto,548000,0,1,97000
Toronto,669900,2,1,97000
Toronto,699000,2,2,97000
Toronto,978000,3,2,97000
Toronto,958000,2,2,97000
Toronto,1899000,2,3,97000
Toronto,559900,2,1,97000
Toronto,498800,1,1,97000
Toronto,1450000,4,2,97000
Toronto,650000,2,1,97000
Toronto,745000,2,2,97000
Toronto,784900,3,2,97000
Toronto,998000,4,2,97000
Toronto,989900,4,2,97000
Toronto,1099000,3,2,97000
Toronto,459900,0,1,97000
Toronto,590000,2,2,97000
Toronto,899900,2,2,97000
Toronto,585000,2,1,97000
Toronto,899000,3,2,97000
Toronto,488000,1,1,97000
Toronto,650000,2,2,97000
Toronto,498000,2,1,97000
Toronto,499900,0,1,97000
Toronto,1595000,3,3,97000
Toronto,718000,1,1,97000
Toronto,1350000,2,2,97000
Toronto,499900,0,1,97000
Toronto,999000,3,2,97000
Toronto,819000,2,1,97000
Toronto,639000,1,1,97000
Toronto,799900,3,2,97000
Toronto,789900,2,2,97000
Toronto,549900,1,1,97000
Toronto,1149900,3,1,97000
Toronto,2699900,4,3,97000
Toronto,1299000,6,3,97000
Toronto,1588000,4,2,97000
Toronto,564000,1,1,97000
Toronto,1195000,3,2,97000
Toronto,515000,1,1,97000
Toronto,1298800,5,2,97000
Toronto,1050000,2,2,97000
Toronto,1190000,3,4,97000
Toronto,2688000,4,4,97000
Toronto,835500,2,2,97000
Toronto,1295000,4,2,97000
Toronto,699000,2,1,97000
Toronto,469900,0,1,97000
Toronto,2388800,3,3,97000
Toronto,681000,2,2,97000
Toronto,899000,2,2,97000
Toronto,595000,2,1,97000
Toronto,718000,2,2,97000
Toronto,599000,2,1,97000
Toronto,999900,2,2,97000
Toronto,5800000,4,3,97000
Toronto,699900,2,1,97000
Toronto,649000,1,1,97000
Toronto,439000,2,1,97000
Toronto,998000,4,2,97000
Toronto,879000,2,3,97000
Toronto,499000,1,1,97000
Toronto,1169000,4,3,97000
Toronto,799900,2,2,97000
Toronto,1139000,3,2,97000
Toronto,929000,3,2,97000
Toronto,859900,2,1,97000
Toronto,1080000,3,2,97000
Toronto,899000,6,4,97000
Toronto,924900,2,2,97000
Toronto,1274900,3,2,97000
Toronto,699000,2,1,97000
Toronto,935000,3,2,97000
Toronto,655000,2,1,97000
Toronto,699000,2,1,97000
Toronto,569900,1,1,97000
Toronto,625000,2,2,97000
Toronto,639900,2,1,97000
Toronto,1124900,2,1,97000
Toronto,3088000,4,5,97000
Toronto,2150000,6,2,97000
Toronto,999800,2,2,97000
Toronto,999000,2,2,97000
Toronto,599000,2,1,97000
Toronto,549000,2,1,97000
Toronto,639000,2,1,97000
Toronto,1150000,7,5,97000
Toronto,1895000,4,4,97000
Toronto,3679000,6,4,97000
Toronto,669990,2,1,97000
Toronto,899000,3,2,97000
Toronto,1300000,3,3,97000
Toronto,859000,2,2,97000
Toronto,669000,1,1,97000
Toronto,639000,1,1,97000
Toronto,1599900,4,4,97000
Toronto,829900,2,2,97000
Toronto,1995000,5,3,97000
Toronto,1075000,2,1,97000
Toronto,2499900,5,5,97000
Toronto,499000,1,1,97000
Toronto,2649999,5,4,97000
Toronto,1350000,4,2,97000
Toronto,650000,2,1,97000
Toronto,1249900,3,2,97000
Toronto,709000,1,1,97000
Toronto,889000,3,2,97000
Toronto,499000,2,1,97000
Toronto,619900,2,1,97000
Toronto,1349888,2,2,97000
Toronto,799990,2,2,97000
Toronto,979000,4,2,97000
Toronto,4499000,6,4,97000
Toronto,635000,2,2,97000
Toronto,949888,2,2,97000
Toronto,765000,2,1,97000
Toronto,1499999,2,1,97000
Toronto,1849000,0,0,97000
Toronto,560000,1,1,97000
Toronto,770000,3,2,97000
Toronto,1499999,4,4,97000
Toronto,849900,2,3,97000
Toronto,1649000,3,2,97000
Toronto,1688000,5,3,97000
Toronto,1450000,4,3,97000
Toronto,1200000,3,2,97000
Toronto,949000,4,3,97000
Toronto,1099000,8,5,97000
Toronto,1980000,0,0,97000
Toronto,1495000,2,4,97000
Toronto,698888,1,1,97000
Toronto,5678000,2,3,97000
Toronto,438000,2,1,97000
Toronto,559000,1,1,97000
Toronto,2099800,4,2,97000
Toronto,770000,1,1,97000
Toronto,2695000,4,4,97000
Toronto,2295000,3,3,97000
Toronto,870000,3,2,97000
Toronto,966000,2,2,97000
Toronto,1399999,3,3,97000
Toronto,699000,0,1,97000
Toronto,1499000,3,2,97000
Toronto,549900,1,1,97000
Toronto,499000,1,1,97000
Toronto,1099900,2,2,97000
Toronto,499999,1,1,97000
Toronto,650000,2,2,97000
Toronto,1099000,4,3,97000
Toronto,819000,2,2,97000
Toronto,899000,3,1,97000
Toronto,1499900,5,3,97000
Toronto,849000,3,2,97000
Toronto,580000,2,1,97000
Toronto,825000,2,2,97000
Toronto,1299800,3,2,97000
Toronto,615000,1,1,97000
Toronto,599000,2,1,97000
Toronto,1095000,2,1,97000
Toronto,899000,2,2,97000
Toronto,8478000,4,4,97000
Toronto,585000,1,1,97000
Toronto,2550000,2,2,97000
Toronto,1495000,2,1,97000
Toronto,1300000,2,3,97000
Toronto,2095000,3,2,97000
Toronto,595500,1,1,97000
Toronto,819800,2,2,97000
