Number_Beds,Count,Mean,Median,Std_Dev,Min,Max
1,122,"$643,188.50","$618,500.00","$205,917.35","$359,000.00","$2,095,000.00"
2,337,"$871,116.12","$765,000.00","$412,332.32","$399,900.00","$5,678,000.00"
3,213,"$1,278,671.38","$1,139,900.00","$622,400.98","$45,000.00","$4,336,900.00"
4,163,"$1,893,600.02","$1,599,900.00","$1,323,430.83","$499,000.00","$12,750,000.00"
5,85,"$2,978,510.24","$2,399,000.00","$2,085,860.84","$989,900.00","$12,750,000.00"
6,27,"$2,641,465.74","$2,379,000.00","$1,529,688.58","$899,000.00","$8,688,000.00"
7,7,"$2,596,126.86","$2,125,000.00","$2,300,916.29","$1,060,000.00","$7,595,000.00"
8,3,"$2,199,300.00","$1,999,000.00","$1,212,918.08","$1,099,000.00","$3,499,900.00"
9,2,"$2,524,000.00","$2,524,000.00","$1,518,865.37","$1,450,000.00","$3,598,000.00"
10,1,"$2,380,000.00","$2,380,000.00",$nan,"$2,380,000.00","$2,380,000.00"
11,1,"$2,199,000.00","$2,199,000.00",$nan,"$2,199,000.00","$2,199,000.00"
15,2,"$4,412,450.00","$4,412,450.00","$1,997,647.37","$2,999,900.00","$5,825,000.00"
