City,Price,Number_Beds,Number_Baths,Median_Family_Income
Toronto,779900.0,3,2,97000.0
Toronto,799999.0,3,1,97000.0
Toronto,799900.0,2,2,97000.0
Toronto,1200000.0,4,2,97000.0
Toronto,668800.0,1,1,97000.0
Toronto,669900.0,2,1,97000.0
Toronto,699000.0,2,2,97000.0
Toronto,978000.0,3,2,97000.0
Toronto,958000.0,2,2,97000.0
Toronto,1899000.0,2,3,97000.0
Toronto,559900.0,2,1,97000.0
Toronto,498800.0,1,1,97000.0
Toronto,1450000.0,4,2,97000.0
Toronto,650000.0,2,1,97000.0
Toronto,745000.0,2,2,97000.0
Toronto,784900.0,3,2,97000.0
Toronto,998000.0,4,2,97000.0
Toronto,989900.0,4,2,97000.0
Toronto,1099000.0,3,2,97000.0
Toronto,590000.0,2,2,97000.0
Toronto,899900.0,2,2,97000.0
Toronto,585000.0,2,1,97000.0
Toronto,899000.0,3,2,97000.0
Toronto,488000.0,1,1,97000.0
Toronto,650000.0,2,2,97000.0
Toronto,498000.0,2,1,97000.0
Toronto,1595000.0,3,3,97000.0
Toronto,718000.0,1,1,97000.0
Toronto,1350000.0,2,2,97000.0
Toronto,999000.0,3,2,97000.0
Toronto,819000.0,2,1,97000.0
Toronto,639000.0,1,1,97000.0
Toronto,799900.0,3,2,97000.0
Toronto,789900.0,2,2,97000.0
Toronto,549900.0,1,1,97000.0
Toronto,1149900.0,3,1,97000.0
Toronto,2699900.0,4,3,97000.0
Toronto,1299000.0,6,3,97000.0
Toronto,1588000.0,4,2,97000.0
Toronto,564000.0,1,1,97000.0
Toronto,1195000.0,3,2,97000.0
Toronto,515000.0,1,1,97000.0
Toronto,1298800.0,5,2,97000.0
Toronto,1050000.0,2,2,97000.0
Toronto,1190000.0,3,4,97000.0
Toronto,2688000.0,4,4,97000.0
Toronto,835500.0,2,2,97000.0
Toronto,1295000.0,4,2,97000.0
Toronto,699000.0,2,1,97000.0
Toronto,2388800.0,3,3,97000.0
Toronto,681000.0,2,2,97000.0
Toronto,899000.0,2,2,97000.0
Toronto,595000.0,2,1,97000.0
Toronto,718000.0,2,2,97000.0
Toronto,599000.0,2,1,97000.0
Toronto,999900.0,2,2,97000.0
Toronto,5800000.0,4,3,97000.0
Toronto,699900.0,2,1,97000.0
Toronto,649000.0,1,1,97000.0
Toronto,439000.0,2,1,97000.0
Toronto,879000.0,2,3,97000.0
Toronto,499000.0,1,1,97000.0
Toronto,1169000.0,4,3,97000.0
Toronto,1139000.0,3,2,97000.0
Toronto,929000.0,3,2,97000.0
Toronto,859900.0,2,1,97000.0
Toronto,1080000.0,3,2,97000.0
Toronto,899000.0,6,4,97000.0
Toronto,924900.0,2,2,97000.0
Toronto,1274900.0,3,2,97000.0
Toronto,935000.0,3,2,97000.0
Toronto,655000.0,2,1,97000.0
Toronto,569900.0,1,1,97000.0
Toronto,625000.0,2,2,97000.0
Toronto,639900.0,2,1,97000.0
Toronto,1124900.0,2,1,97000.0
Toronto,3088000.0,4,5,97000.0
Toronto,2150000.0,6,2,97000.0
Toronto,999800.0,2,2,97000.0
Toronto,999000.0,2,2,97000.0
Toronto,549000.0,2,1,97000.0
Toronto,639000.0,2,1,97000.0
Toronto,1150000.0,7,5,97000.0
Toronto,1895000.0,4,4,97000.0
Toronto,3679000.0,6,4,97000.0
Toronto,669990.0,2,1,97000.0
Toronto,1300000.0,3,3,97000.0
Toronto,859000.0,2,2,97000.0
Toronto,669000.0,1,1,97000.0
Toronto,1599900.0,4,4,97000.0
Toronto,829900.0,2,2,97000.0
Toronto,1995000.0,5,3,97000.0
Toronto,1075000.0,2,1,97000.0
Toronto,2499900.0,5,5,97000.0
Toronto,2649999.0,5,4,97000.0
Toronto,1350000.0,4,2,97000.0
Toronto,1249900.0,3,2,97000.0
Toronto,709000.0,1,1,97000.0
Toronto,889000.0,3,2,97000.0
Toronto,499000.0,2,1,97000.0
Toronto,619900.0,2,1,97000.0
Toronto,1349888.0,2,2,97000.0
Toronto,799990.0,2,2,97000.0
Toronto,979000.0,4,2,97000.0
Toronto,4499000.0,6,4,97000.0
Toronto,635000.0,2,2,97000.0
Toronto,949888.0,2,2,97000.0
Toronto,765000.0,2,1,97000.0
Toronto,1499999.0,2,1,97000.0
Toronto,560000.0,1,1,97000.0
Toronto,770000.0,3,2,97000.0
Toronto,1499999.0,4,4,97000.0
Toronto,849900.0,2,3,97000.0
Toronto,1649000.0,3,2,97000.0
Toronto,1688000.0,5,3,97000.0
Toronto,1450000.0,4,3,97000.0
Toronto,1200000.0,3,2,97000.0
Toronto,949000.0,4,3,97000.0
Toronto,1099000.0,8,5,97000.0
Toronto,1495000.0,2,4,97000.0
Toronto,698888.0,1,1,97000.0
Toronto,5678000.0,2,3,97000.0
Toronto,438000.0,2,1,97000.0
Toronto,559000.0,1,1,97000.0
Toronto,2099800.0,4,2,97000.0
Toronto,770000.0,1,1,97000.0
Toronto,2695000.0,4,4,97000.0
Toronto,2295000.0,3,3,97000.0
Toronto,870000.0,3,2,97000.0
Toronto,966000.0,2,2,97000.0
Toronto,1399999.0,3,3,97000.0
Toronto,1499000.0,3,2,97000.0
Toronto,1099900.0,2,2,97000.0
Toronto,499999.0,1,1,97000.0
Toronto,1099000.0,4,3,97000.0
Toronto,819000.0,2,2,97000.0
Toronto,899000.0,3,1,97000.0
Toronto,1499900.0,5,3,97000.0
Toronto,849000.0,3,2,97000.0
Toronto,580000.0,2,1,97000.0
Toronto,825000.0,2,2,97000.0
Toronto,1299800.0,3,2,97000.0
Toronto,615000.0,1,1,97000.0
Toronto,1095000.0,2,1,97000.0
Toronto,8478000.0,4,4,97000.0
Toronto,585000.0,1,1,97000.0
Toronto,2550000.0,2,2,97000.0
Toronto,1495000.0,2,1,97000.0
Toronto,1300000.0,2,3,97000.0
Toronto,2095000.0,3,2,97000.0
Toronto,595500.0,1,1,97000.0
Toronto,819800.0,2,2,97000.0
Toronto,755000.0,2,1,97000.0
Toronto,918000.0,3,2,97000.0
Toronto,749000.0,2,2,97000.0
Toronto,2488888.0,4,4,97000.0
Toronto,1199000.0,5,2,97000.0
Toronto,448800.0,3,2,97000.0
Toronto,788000.0,3,3,97000.0
Toronto,697000.0,2,1,97000.0
Toronto,709000.0,2,1,97000.0
Toronto,1850000.0,5,5,97000.0
Toronto,1549000.0,3,3,97000.0
Toronto,569000.0,1,1,97000.0
Toronto,1039000.0,3,1,97000.0
Toronto,1799000.0,4,4,97000.0
Toronto,899000.0,2,1,97000.0
